route_id,origin,destination,route_type,route_priority,strategic_tag,strategic_relevance,carrier_overlap_notes,source_document_note,is_new_launch,is_active
AUH-BKK,AUH,BKK,INTERNATIONAL,STANDARD,STANDARD,,"Etihad, Thai",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
AUH-BOM,AUH,BOM,INTERNATIONAL,TIER_1_DAILY,STANDARD,,"Etihad, Air India, IndiGo, Air Arabia",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
AUH-CAI,AUH,CAI,INTERNATIONAL,TIER_2_EVERY_2_DAYS,STANDARD,,"Etihad, EgyptAir, Air Arabia",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
AUH-DEL,AUH,DEL,INTERNATIONAL,STANDARD,STANDARD,,"Etihad, Air India, IndiGo",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
AUH-JED,AUH,JED,INTERNATIONAL,STANDARD,STANDARD,,"Etihad, Saudia, flynas",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
AUH-JFK,AUH,JFK,INTERNATIONAL,STANDARD,STANDARD,,Etihad,Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
AUH-KHI,AUH,KHI,INTERNATIONAL,STANDARD,STANDARD,,"Etihad, Air Arabia",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
AUH-LHR,AUH,LHR,INTERNATIONAL,STANDARD,STANDARD,,"Etihad, BA",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
AUH-NBO,AUH,NBO,INTERNATIONAL,STANDARD,WAVE_2_PRESEED,Wave 2 pre-seed,"Etihad, Kenya",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
CAI-ASW,CAI,ASW,DOMESTIC,STANDARD,STANDARD,,"EgyptAir, Air Cairo",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
CAI-CDG,CAI,CDG,INTERNATIONAL,STANDARD,STANDARD,,"EgyptAir, Air France, Lufthansa",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
CAI-FRA,CAI,FRA,INTERNATIONAL,STANDARD,STANDARD,,"EgyptAir, Air France, Lufthansa",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
CAI-HRG,CAI,HRG,DOMESTIC,STANDARD,STANDARD,,"EgyptAir, Nile Air, Air Cairo",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
CAI-JFK,CAI,JFK,INTERNATIONAL,STANDARD,STANDARD,,EgyptAir,Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
CAI-LHR,CAI,LHR,INTERNATIONAL,STANDARD,STANDARD,,"EgyptAir, BA",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
CAI-LXR,CAI,LXR,DOMESTIC,STANDARD,STANDARD,,"EgyptAir, Air Cairo, Nile Air",Seeded from employer Wave1 route plan; live schedule validation required.,FALSE,TRUE
